Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0402,2,20pF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C21, C22, C24, C25, C28, C29, C34, C35, C4, C6, C7",0402,22,100nF,
C20,0402,1,1uF,
"C23, C31",0402,2,10nF,
C26,0402,1,330pF,
C27,0402,1,6.8nF,
C3,0402,1,1.3nF,
"C30, C32, C33, C8",0402,4,10uF,
C36,0402,1,1nF,
C9,0402,1,47uF,
D1,SOT-23,1,BAV99,
D2,0603,1,LED,
J1,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,SMA,
J2,USB_A_Molex_48037-2200_Horizontal,1,USB_A,
"L1, L3, L4, L5, L6, L9",0402,6,bead,
L10,0402,1,8.2nH,
"L11, L13",0402,2,1.6uH,
L12,0402,1,24nH,
L2,0402,1,4.7uH,
"L7, L8",0603,2,150nH,
"R1, R10",0402,2,10kR,
"R11, R3, R4, R5, R6",0402,5,4.7kR,
"R12, R13",0402,2,100kR,
R14,0402,1,330R,
R2,0402,1,1M,
"R7, R8",0402,2,220R,
R9,0402,1,1.8kR,
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm_ThermalVias,1,RTL2832U,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-WMN,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,R820T2,
U4,SOT-23-5,1,AP2112K-3.3,
U5,X2SON-8_1.4x1mm_P0.35mm,1,74AUP1G74,
U6,SOT-353_SC-70-5,1,74LVC1G17,
U7,SOT-23-6,1,USBLC6-2SC6,C7519
X1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,19.2 MHz,
